id,doi,title,year,authors,journal,abstract,provenance_databases,provenance_techniques,provenance_count,decision,decision_reason,screener,decision_date,calibration_set
doi:10.1093/oso/9780198749967.003.0002,10.1093/oso/9780198749967.003.0002,Modernist Close Reading,2020,Max Saunders,Modernism and Close Reading,"Close reading, as it gained prestige from the 1920s in Cambridge Practical Criticism and then the American New Criticism, was not only a product of the modernist period but a product of modernism. Whatever else modernism involved, it advocated what we might call ‘close writing’: a minute attention to the words being used, the word choices being justified by the effects they produced. When I. A. Richards distributed anonymized poems to his students and colleagues for them to analyse, and then analysed their responses in turn, he wrote up his findings in the book that effectively launched close reading as an academic practice, Practical Criticism (1929). This chapter investigates two kinds of context for the attention to close reading exemplified by Richards. One is the network of writers and thinkers around Richards; the other is literary modernism itself",crossref,assumptive;summary-close;trial-close,3,,,marion,,1
doi:10.4324/9781003446132-8,10.4324/9781003446132-8,Anchor Partnerships and Community Impact,2023,Richard Guarasci,Neighborhood Democracy,,crossref,anchor-with-range;extreme-anchor,2,,,marion,,1
nct:NCT03284359,,A Randomized Trial of Nudges To Enhance Enrollment in Critical Care Research,2018,,ClinicalTrials.gov,"Difficulties enrolling patients in randomized clinical trials (RCTs) have long been recognized as a major barrier to successful evaluation of medical interventions. This is particularly problematic among intensive care unit (ICU) trials, of which more than one-third do not reach target enrollment. Under-enrollment and selective enrollment reduce RCTs' abilities to answer the research questions, thereby degrading the trials' scientific value and ethics.

Current evidence suggests that financial incentives can ethically increase study enrollment, but this approach can pose large up-front costs to researchers. However, several nonmonetary behavioral interventions, or nudges, may offer novel and easily scalable approaches to increase enrollment in RCTs.

The investigation team propose a 2-arm RCT in 10 ICUs at Penn to test the relative effectiveness of nudges on enrollment rates. Investigators hypothesize that a bundle of nudges during recruitment will increase enrollment rates compared to usual recruitment procedures will increase enrollment.

Investigators will enroll 182 critically ill patients' surrogate decision makers(participants) to engage in recruitment procedures for a simulated RCT comparing two mechanical ventilation weaning protocols among mechanically ventilated patients. Investigators will also measure participants' assessment of risk of the simulated trial after the informed consent process. This work will provide the first empirical evidence regarding the efficacy of inexpensive, scalable nudges to potentially augment enrollment and reduce costs of future clinical trials.",clinicaltrials,fitd;reciprocity,2,,,marion,,1
openalex:W1819601271,10.1080/15377857.2015.1086137,Pushing Too Hard: Using Door-in-the-Face to Get Voters out the Door,2015,"Deborah Brown McCabe, Melissa R. Michelson",Journal of Political Marketing,"Get-out-the-vote campaigns have utilized a variety of tools and techniques to encourage registered voters to participate on election day. This paper reports the results of a study that uses two randomized field experiments to test the viability of the door-in-the-face (DITF) technique developed by Cialdini et al. (1975 Cialdini, R. B., J. E. Vincent, S. K. Lewis, J. Catalan, D. Wheeler, and B. L. Darby. 1975. “Reciprocal Concessions Procedure for Inducing Compliance: The Door-in-the-face Technique.” Journal of Personality and Social Psychology 31:206–15. doi:10.1037/h0076284[Crossref], [Web of Science ®] , [Google Scholar]) as a way to increase voter turnout. The first experiment was a small pilot conducted in November 2010 among registered voters who are students at a college in the western United States. The second, larger-scale experiment was conducted in November 2011 with registered voters in San Mateo County, California. Results from both the pilot and full field experiments suggest that DITF is not an effective tactic for increasing voter turnout. Voters receiving a simple get-out-the-vote script were more likely to vote than were those in the control group, but voters receiving the DITF script were no more likely to cast ballots.",crossref;openalex,ditf,2,,,marion,,1
openalex:W2109630906,10.1037/0022-3514.40.3.492,The low-ball compliance technique: Task or person commitment?,1981,"Jerry M. Burger, Richard E. Petty",Journal of Personality and Social Psychology,"Three experiments were conducted to examine the mediating process involved in the low-ball procedure for increasing compliance. In Experiment 1, subjects who agreed to but were not allowed to perform an initial request complied with a more costly version of the same request to a greater extent than did controls only when the second request came from the same person as did the first request and not when it came from a different person. In Experiment 2, subjects who agreed to but were not allowed to carry out an initial low-cost request complied with a larger request from the same person to the same extent, whether the first request was related or unrelated to the second. In Experiment 3, subjects were allowed or not allowed to perform an initial small request after agreeing to do so. Later, these subjects were approached by either the same or a different person with a larger second request. All groups showed increased compliance over a control cell. However, subjects not allowed to perform the initial request who were approached by the same person for the second request showed a higher rate of compliance than subjects in the other experimental conditions. The results from the three experiments suggest that an unfulfilled obligation to the requester, rather than a commitment to the initial target behavior, is responsible for the effectiveness of the low-ball technique. Recent social psychological investigations have examined the effectiveness of tech-niques designed to increase compliance to requests in the absence of any obvious sources of pressure (cf. DeJong, 1979). The earliest compliance-without-pressure tech-nique, the foot-in-the-door, was introduced by Freedman and Fraser (1966). Subjects who complied with an initial small request were found to be more likely to agree to a similar but larger request from a different person than were subjects contacted only with the second request. Freedman and Fraser suggested that as a result of perform-Portions of this report were presented at the meeting of the Midwestern Psychological Association, Chicago,",openalex;semantic_scholar,lowball,2,,,marion,,1
arxiv:2604.16247v1,,Joint-Centric Dual Contrastive Alignment with Structure-Preserving and Information-Balanced Regularization,2026,"Habibeh Naderi, Behrouz Haji Soleimani, Stan Matwin",arXiv,"We propose HILBERT (HIerarchical Long-sequence Balanced Embedding with Reciprocal contrastive Training), a cross-attentive multimodal framework for learning document-level audio-text representations from long, segmented sequences in low-resource data settings. HILBERT leverages frozen pre-trained speech and language encoders to extract segment-level features, which are aggregated via cross-modal attention and self-attentive pooling to form modality-specific document representations and a joint cross-attentive embedding. To align modalities while preserving modality-specific structure under severe audio-text dimensional imbalance, we introduce a reciprocal dual contrastive objective that simultaneously aligns audio-to-joint and text-to-joint representations, rather than directly contrasting audio and text alone. Two auxiliary regularizers further stabilize long-sequence fusion: a Centered Kernel Alignment (CKA) loss that preserves structural consistency between each modality and the joint embedding, and a mutual information balancing loss that prevents dominance of a single modality by equalizing information flow from audio and text into the joint space. For downstream prediction, HILBERT employs a Mixture-of-Experts (MoE) classifier over concatenated audio, text, and joint representations to accommodate heterogeneous label regimes. Extensive evaluation across multiple audio-text backbone combinations demonstrates that HILBERT learns semantically meaningful long-sequence representations and achieves superior performance on highly imbalanced multi-class settings.",arxiv,reciprocity,1,,,marion,,1
openalex:W7160692622,10.5281/zenodo.20095948,Digital Transformation and Athlete Human Capital Configuration: A Configurational Perspective on Value Creation,2026,"Xiao ju He, Dawei Cao, Qii Ying, Yan-wei Xu",Zenodo (CERN European Organization for Nuclear Research),"README Dataset for: ""Digital Transformation and Athlete Human Capital Configuration: A Configurational Perspective on Value Creation in Elite Sport"" ============================================================= 1. CASE SELECTION ============================================================= This study examines Chinese track and field athletes across three competitive tiers based on the human capital development stage theory: formation stage (early-career), accumulation stage (national-level), and maturity stage (international elite). Screening Procedure: - Initial pool: 622 athlete cases identified from four sources: (a) Chinese athletes ranked in the top 100 of each event on World Athletics (as of February 23, 2025); (b) Chinese athletes who broke world or continental records between 2019 and 2025; (c) Chinese Athletics Association's 2024 Paris Olympics roster; (d) China's roster for the 2024 World U20 Championships. - Cross-validation: Athletes appearing in multiple sources were counted once. - Stratified sampling: Three tiers with differentiated criteria: - Top tier (n = 8): Olympic/World Championship medalists OR world top-50 ranked OR record-breakers, with ≥1 million social media followers or ≥5 million topic views. - Middle tier (n = 11): National Championships medalists OR Paris Olympics participants OR world top-100 ranked, with≥100K followers or ≥10 million topic views. - Early-career tier (n = 9): U20/U18 medalists OR national ranking 7–16, with some data supplemented via interviews. - Expert validation: 3 track and field coaches independently assessed tier classification (inter-rater agreement: 89.3%). Final sample: 28 athletes (male: 13; female: 15), covering sprinting, jumping, throwing, and race walking events. ============================================================= 2. VARIABLE DEFINITIONS AND DATA SOURCES ============================================================= 2.1 Condition Variables (1) Achievement Capital Operationalized as competitive performance level, measured by medals and placements at major international and domestic championships (Olympic Games, World Championships, Asian Games, National Games, National Championships, U18/U20 events), with Olympic participation without a medal recognized as a distinct achievement level. (2) Social Capital Operationalized as online visibility and engagement, measured by verified followers on Weibo and Douyin, total engagement metrics (likes, comments, shares), and topic view counts. (3) Institutional Capital Assessed on two dimensions: (a) Institutional Support: Existence of government policies supporting market-based investment in athlete development (e.g., dedicated funding programs, subsidy policies, streamlined market access). (b) Policy Suitability: Availability of local government policies supporting sports technology enterprises,innovation platforms, and digital transformation initiatives. Composite score = MAX(Institutional Support, Policy Suitability). (4) Technology Application Measured through multiple channels: use of AI-assisted training systems or biomechanical analysis technologies, data-driven rehabilitation and intelligent wearable devices, and access to comprehensive scientific and medical support systems (including national team training programs with integrated scientific support infrastructure). Sources include General Administration of Sport reports, local government media, sports forums, athlete interviews, and self-media content. (5) Digital Commercialization Ability Assessed on two dimensions: (a) Brand Endorsement: Number of verified brand endorsements, identified through keyword searches in official media and brand websites. (b) Social Media Operations: Professional team management, content update frequency, engagement style, and presence of virtual avatar/digital persona. 2.2 Outcome Variable Human Capital Value Realization, assessed on two dimensions: (a) Income: Estimated from competition bonuses, salary, and commercial endorsements. Top-tier income estimated from media reports and Forbes athlete rankings; middle-tier from national salary benchmarks and endorsement data; early-career tier supplemented via interview data. (b) Career Development: Career transition capability and academic capital accumulation, assessed through publicly available career records and interview data. 2.3 Calibration Procedures Achievement Capital: 4-level ordinal scale (1, 0.67, 0.33, 0) based on highest competitive achievement level: (1) international medalist or Asian record holder → 1; (2) Asian Games medalist or National Games gold medalist → 0.67; (3) National Championships gold medalist, U18/U20 medalist, or Olympic selected competitor → 0.33; (4) none of the above → 0.Social Capital: Direct calibration in fsQCA using total follower count (million) on verified Weibo and Douyin accounts. Anchors: full membership = 2.0M, crossover = 0.42M, full non-membership = 0.023M. Technology Application: 3-item checklist (AI-assisted training or biomechanical analysis; data-driven rehabilitation and intelligent wearable devices; comprehensive scientific and medical support systems). Scored 0–1: all 3 met = 1, any 2 = 0.67, any 1 = 0.33, none = 0. National team training programs with integrated scientific support infrastructure satisfy criterion (3). Digital Commercialization Ability: 3-item checklist (virtual/AI persona; endorsement volume: >8 brands = high, 3–8 = medium, <3 = low; professional social media management). Scored 0–1. Institutional Capital: MAX(Institutional Support, Policy Suitability). Each sub-dimension scored 0–1 based on a three-item policy checklist. Income: Direct calibration in fsQCA. Income midpoints derived from estimated annual ranges. Anchors: 25th percentile = ¥262,500, median = ¥375,000, 75th percentile = ¥1,150,000. Career Development: Qualitative assignment based on evidence of (a) diversified post-athletic roles, (b) academic degree pursuit, or (c) limited career planning. Scores:0, 0.33, 0.67, 1. Human Capital Value Realization: Direct calibration in fsQCA using income midpoint as primary input with the same anchors as Income, holistically incorporating career development observations. 2.4 Reproducibility: NCA Analysis Code The NCA analysis was conducted using R package ""NCA"" (Dul et al., 2020). The input data file ""NCA.csv"" has the following column order: | Column | Variable | |:------:|----------| | 1 | HC Value (outcome variable) | | 2 | Achievement Capital | | 3 | Social Capital | | 4 | Technology Application | | 5 | Digital Commercialization | | 6 | Institutional Capital | Necessity Analysis (one condition at a time): ```r library(NCA) data <- read.csv(""NCA.csv"", header = TRUE) # Column 2 (Achievement Capital) vs Column 1 (HC Value) model1 <- nca_analysis(data, 2, 1, ceilings = ""cr_fdh"", test.rep = 10000) nca_output(model1, test = TRUE) # Column 3 (Social Capital) vs Column 1 (HC Value) model2 <- nca_analysis(data, 3, 1, ceilings = ""cr_fdh"", test.rep = 10000) nca_output(model2, test = TRUE) # Column 4 (Technology Application) vs Column 1 (HC Value) model3 <- nca_analysis(data, 4, 1, ceilings = ""cr_fdh"", test.rep = 10000) nca_output(model3, test = TRUE) # Column 5 (Digital Commercialization) vs Column 1 (HC Value) model4 <- nca_analysis(data, 5, 1, ceilings = ""cr_fdh"", test.rep = 10000) nca_output(model4, test = TRUE) # Column 6 (Institutional Capital) vs Column 1 (HC Value) model5 <- nca_analysis(data, 6, 1, ceilings = ""cr_fdh"", test.rep = 10000) nca_output(model5, test = TRUE) Bottleneck Analysis (all conditions simultaneously): # Columns 2-6 (all conditions) vs Column 1 (HC Value) model_bn <- nca_analysis(data, c(2:6), 1, test.rep = 10000) nca_output(model_bn, bottlenecks = TRUE) =============================================================3. DATA COLLECTION TIMELINE Secondary data collection: February 2025 – April 2025Interview data collection: May 3–5, 2025Data analysis: May 2025 – July 2025 =============================================================4. INTERVIEW DATA Interviews were conducted with early-career tier athletes whose publicly available data were insufficient for variable calibration. Participant ID Interview Date Duration Mode INT001 May 3, 2025 52:20 WeChat Voice INT002 May 4, 2025 19:55 WeChat Voice INT003 May 4, 2025 47:57 WeChat Video INT004 May 5, 2025 37:24 WeChat Voice Mean duration: 39.4 minutes (SD = 14.1) All participants provided written informed consent. Interviews were audio-recorded with participant permission. Interview data were anonymized and used to supplement secondary data for calibrating Technology Application, Digital Commercialization,Institutional Capital (both sub-dimensions), Career Development, and Income conditions for early-career athletes with insufficient publicly available data. =============================================================5. FILE INDEX File Access Table_S1_Variable_Definitions.xlsx Public Table_S2_Raw_Data_Anonymized.xlsx Public Table_S3_Calibrated_Data.xlsx Public Table_S4_NCA_Results.xlsx Public Table_S5_fsQCA_Truth_Table.xlsx Public Table_S6_fsQCA_Solutions.xlsx Public Table_S7_Data_Source_Tracker.xlsx Restricted Document_S1_Interview_Protocol.pdf Public Document_S2_Thematic_Analysis.pdf Public File descriptions: Table_S1_Variable_Definitions.xlsxVariable operationalization, data sources, and calibration anchors for all conditions and outcome. Table_S2_Raw_Data_Anonymized.xlsx. Raw scores for 24 public athletes (interview participant data excluded to protect privacy). Table_S3_Calibrated_Data.xlsx Fuzzy-set calibrated scores for fsQCA analysis (all 28 cases). Table_S4_NCA_Results.xlsxNCA bottleneck tables, effect sizes, and necessity test result",openalex,anchor-with-range,1,,,marion,,1
openalex:W7154631742,10.63363/aijfr.2026.v07i02.4505,Algorithmic Guidance and Psychological Susceptibility in AI Systems,2026,"Shradha Bisht, Devinder Dhalla",Advanced International Journal for Research,"Conversational artificial intelligence (AI) systems are increasingly used as advisory agents in domains involving career planning, financial decisions, emotional regulation, and productivity enhancement. While existing research primarily evaluates technical performance and accuracy, comparatively little attention has been devoted to the psychological architecture of AI-generated advice. The present study conducted a qualitative comparative discourse analysis of advisory responses generated by three widely used conversational AI systems across eight vulnerability-oriented prompts. Responses were systematically coded for authority language, directive strength, emotional validation, personalization framing, cognitive load reduction, and identity reinforcement cues. Findings indicate that conversational style significantly shapes psychological influence pathways. Systems differed in their levels of emotional validation, executive directive framing, and behavioral scaffolding, suggesting distinct profiles of affective trust activation, authority bias engagement, and cognitive offloading facilitation. Although influence mechanisms were subtle and not inherently harmful, the structural design of advisory outputs may increase compliance, reliance, and identity framing, particularly in contexts of user vulnerability. These findings suggest that conversational AI should be conceptualized not only as informational technology but also as behavioral infrastructure. The study highlights the need for greater awareness of how advisory framing influences user autonomy and calls for interdisciplinary research into ethical design and long-term psychological impact.",openalex,authority,1,,,marion,,1
openalex:W7134291344,,Reasoning Models Struggle to Control their Chains of Thought,2026,"Chen Yueh-Han, Robert J. McCarthy, Bruce W. Lee, He He, Ian Kivlichan, Bowen Baker, Micah Carroll, Tomek Korbak",arXiv (Cornell University),"Chain-of-thought (CoT) monitoring is a promising tool for detecting misbehaviors and understanding the motivations of modern reasoning models. However, if models can control what they verbalize in their CoT, it could undermine CoT monitorability. To measure this undesirable capability -- CoT controllability -- we introduce the CoT-Control evaluation suite, which includes tasks that require models to solve problems while adhering to CoT instructions, e.g., reasoning about a genetics question without using the word 'chromosome'. We show that reasoning models possess significantly lower CoT controllability than output controllability; for instance, Claude Sonnet 4.5 can control its CoT only 2.7% of the time but 61.9% when controlling its final output. We also find that CoT controllability is higher for larger models and decreases with more RL training, test-time compute, and increased problem difficulty. CoT controllability failures extend even to situations in which models are given incentives (as opposed to direct requests) to evade CoT monitors, although models exhibit slightly higher controllability when they are told they are being monitored. Similarly, eliciting controllability by adversarially optimizing prompts does not meaningfully increase controllability. Our results leave us cautiously optimistic that CoT controllability is currently unlikely to be a failure mode of CoT monitorability. However, the mechanism behind low controllability is not well understood. Given its importance for maintaining CoT monitorability, we recommend that frontier labs track CoT controllability in future models.",openalex,authority,1,,,marion,,1
openalex:W7134860043,,The Third Ambition: Artificial Intelligence and the Science of Human Behavior,2026,"W. Russell Neuman, Chad Coleman",arXiv (Cornell University),"Contemporary artificial intelligence research has been organized around two dominant ambitions: productivity, which treats AI systems as tools for accelerating work and economic output, and alignment, which focuses on ensuring that increasingly capable systems behave safely and in accordance with human values. This paper articulates and develops a third, emerging ambition: the use of large language models (LLMs) as scientific instruments for studying human behavior, culture, and moral reasoning. Trained on unprecedented volumes of human-produced text, LLMs encode large-scale regularities in how people argue, justify, narrate, and negotiate norms across social domains. We argue that these models can be understood as condensates of human symbolic behavior, compressed, generative representations that render patterns of collective discourse computationally accessible. The paper situates this third ambition within long-standing traditions of computational social science, content analysis, survey research, and comparative-historical inquiry, while clarifying the epistemic limits of treating model output as evidence. We distinguish between base models and fine-tuned systems, showing how alignment interventions can systematically reshape or obscure the cultural regularities learned during pretraining, and we identify instruct-only and modular adaptation regimes as pragmatic compromises for behavioral research. We review emerging methodological approaches including prompt-based experiments, synthetic population sampling, comparative-historical modeling, and ablation studies and show how each maps onto familiar social-scientific designs while operating at unprecedented scale.",openalex,authority,1,,,marion,,1
