id,doi,year,title,authors,journal,abstract,provenance_techniques,provenance_count,decision,decision_reason,screener
doi:10.5204/thesis.eprints.230505,10.5204/thesis.eprints.230505,,How regulatory focus-mode fit impacts variety-seeking,", Thi Minh Thuy Pham",,"This thesis investigates impacts on consumers’ variety-seeking due to fit between regulatory focus (promotion, prevention) and regulatory mode (locomotion, assessment). I analysed a field dataset of 10,547 consumers and conducted three experiments across Australia, the United Kingdom, and the United States. Findings show that regulatory focus–mode fit decreases variety-seeking due to strengthened engagement and attitude certainty. Hence, this research introduces a new kind of regulatory fit, extending previous literature examining fit based on either regulatory focus or regulatory mode in isolation. Managers can segment consumers based on their motivations or adjust advertising messages to predict and influence variety-seeking.",regulatory-fit,1,include,"Thesis on regulatory focus-mode fit × consumer variety-seeking with 10,547-consumer dataset + three experiments across AU/UK/US; eligible (dissertation per §4.8, commercial consumer-decision outcome).",llm-claude-opus-4-7
openalex:W2021998397,10.1037/0022-3514.86.3.388,2004,"Regulatory Fit and Persuasion: Transfer From ""Feeling Right.""","Joseph Cesario, Heidi Grant, E. Tory Higgins",Journal of Personality and Social Psychology,"The authors propose that when a message recipient ""feels right"" from regulatory fit (E. T. Higgins, 2000), this subjective experience transfers to the persuasion context and serves as information for relevant evaluations, including perceived message persuasiveness and opinions of the topic. Fit was induced either by strategic framing of message arguments in a way that fit/did not fit with the recipient's regulatory state or by a source unrelated to the message itself. Across 4 studies, regulatory fit enhanced perceived persuasiveness and opinion ratings. These effects were eliminated when the correct source of feeling right was made salient before message exposure, supporting the misattribution account. These effects reversed when message-related thoughts were negative, supporting the claim that fit provides information about the ""rightness"" of one's (positive or negative) evaluations.",regulatory-fit,1,include,"JPSP 2004 on regulatory fit 'feeling right' transfer to persuasion; eligible (experimental, regulatory fit, persuasion outcome).",llm-claude-opus-4-7
openalex:W2091457087,10.1177/0146167204264334,2004,Imagining How You’d Feel: The Role of Motivational Experiences from Regulatory Fit,"Lorraine Chen Idson, Nira Liberman, E. Tory Higgins",Personality and Social Psychology Bulletin,"The authors propose that how people imagine they would feel about making a choice is affected not only by the outcome's anticipated pleasure or pain but also by regulatory fit. Regulatory fit occurs when people pursue a goal in a manner that sustains their regulatory state and it intensifies the motivation to pursue that goal. Considering positive outcomes fits a promotion focus more than a prevention focus, whereas the reverse is true for negative outcomes. Thus, it is proposed that anticipating a desirable choice is more intensely positive for promotion than prevention, and anticipating an undesirable choice is more intensely negative for prevention than promotion. The results of three studies support these predictions. Studies 2 and 3 also demonstrate that motivational intensity underlies the stronger responses. Thus, to understand fully what it means to feel good or bad about a prospective choice, motivational experiences from regulatory fit must be considered.",regulatory-fit,1,include,"PSPB 2004 on imagining how you'd feel × regulatory fit × consumer choice; eligible (experimental, regulatory fit, consumer-choice outcome).",llm-claude-opus-4-7
openalex:W2138092742,10.1002/ejsp.180,2004,How regulatory fit enhances motivational strength during goal pursuit,"Scott Spiegel, Heidi Grant‐Pillow, E. Tory Higgins",European Journal of Social Psychology,"Abstract Higgins' (2000) theory of regulatory fit proposes that motivational strength will be enhanced when the manner in which people work toward a goal sustains (rather than disrupts) their regulatory orientation. This enhanced motivational strength in turn should improve efforts at goal attainment. In Experiment 1, predominantly promotion‐ and prevention‐focused participants were given the goal of writing a report on their leisure time, and were assigned either eagerness‐ or vigilance‐framed means to use. Promotion/eagerness and prevention/vigilance participants were about 50% more likely to turn in their reports than promotion/vigilance and prevention/eagerness participants. In Experiment 2, participants read either a promotion‐ or a prevention‐framed health message urging them to eat more fruits and vegetables, and were then asked to imagine either the benefits of compliance or the costs of non‐compliance. Promotion/benefits and prevention/costs participants subsequently ate about 20% more fruits and vegetables over the following week than promotion/costs and prevention/benefits participants. The implications of regulatory fit's enhancement of motivational strength are discussed. Copyright © 2004 John Wiley &amp; Sons, Ltd.",regulatory-fit,1,include,"EJSP 2004 experiments on regulatory fit × motivational strength in goal pursuit; eligible (experimental, regulatory fit, behavioral outcome).",llm-claude-opus-4-7
openalex:W3125011042,10.1037/0022-3514.86.2.205,2004,Bringing the Frame Into Focus: The Influence of Regulatory Fit on Processing Fluency and Persuasion.,"Angela Y. Lee, Jennifer Aaker",Journal of Personality and Social Psychology,"This research demonstrates that people's goals associated with regulatory focus moderate the effect of message framing on persuasion. The results of 6 experiments show that appeals presented in gain frames are more persuasive when the message is promotion focused, whereas loss-framed appeals are more persuasive when the message is prevention focused. These regulatory focus effects suggesting heightened vigilance against negative outcomes and heightened eagerness toward positive outcomes are replicated when perceived risk is manipulated. Enhanced processing fluency leading to more favorable evaluations in conditions of compatibility appears to underlie these effects. The findings underscore the regulatory fit principle that accounts for the persuasiveness of message framing effects and highlight how processing fluency may contribute to the ""feeling right"" experience when the strategy of goal pursuit matches one's goal.",loss-framing;regulatory-fit,2,include,JPSP 2004 six experiments on regulatory fit × gain-loss framing on persuasion / processing fluency; eligible.,llm-claude-opus-4-7
openalex:W2127956021,10.1111/j.0963-7214.2005.00366.x,2005,Value From Regulatory Fit,E. Tory Higgins,Current Directions in Psychological Science,"Where does value come from? I propose a new answer to this classic question. People experience regulatory fit when the manner of their engagement in an activity sustains their goal orientation or interests regarding that activity. When there is fit, people engage more strongly in what they are doing and “feel right” about it. Fit influences the strength of value experiences—how good or how bad one feels about something—independently of the pleasure and pain experiences that are associated with outcomes. It uniquely contributes to people's experience of the value of things. Fit is shown to influence judgments and decision making, attitude and behavior change, and task performance.",regulatory-fit,1,include,Current Directions Psychological Science 2005 review by Higgins of regulatory fit value; eligible (review of empirical regulatory-fit literature).,llm-claude-opus-4-7
openalex:W1978833179,10.1002/mar.20127,2006,How advertising claims affect brand preferences and category–brand associations: The role of regulatory fit,"Arnd Florack, Martin Scarabis",Psychology and Marketing,"Abstract Two experiments examined whether selfregulatory goals addressed in advertising claims influence product preferences and category– brand associations. Experiment 1 provided evidence for the hypothesis that the fit between an advertising claim and consumers' regulatory focus has an impact on product preferences. Participants were more likely to prefer products presented in an advertisement with a claim compatible with the experimentally induced focus. Experiment 2 demonstrated that regulatory focus also has an impact on category– brand associations. Category–brand associations were stronger when the claim of a target brand was compatible with the regulatory focus at the time category–brand associations were measured. © 2006 Wiley Periodicals, Inc.",regulatory-fit,1,include,"Psychology & Marketing 2006 two experiments on regulatory fit × ad claims × brand preferences; eligible (experimental, regulatory fit, brand-evaluation outcome).",llm-claude-opus-4-7
openalex:W1984864983,10.1509/jmkr.43.1.24,2006,Response to Comments on “How Regulatory Fit Affects Value in Consumer Choices and Opinions”,"Tamar Avnet, E. Tory Higgins",Journal of Marketing Research,"The effect of regulatory fit on the value of a decision involves two important components: a “feeling-right ” com-ponent and a strength-of-engagement component. The feeling-right component is related to people’s feelings about their decision activity, suggesting that the activity itself is experienced as being better when the manner of the deci-sion making sustains or fits their current regulatory orienta-tion (Freitas and Higgins 2002; Higgins 2000). The strength-of-engagement component is related to the motiva-tional force that people experience when making a decision, suggesting that people are more engaged in their decision responses (e.g., evaluative responses) when the manner of their decision making sustains or fits their current regula-tory orientation (Higgins, in press). These two components of regulatory fit are both considered independent of a sim-ple hedonic or pleasure/pain experience. The main implica-tion of this independency is that increasing the feeling-right experience and strengthening people’s engagement in a decision can have either a positive effect or a negative effect on the decision value itself. Although both the feeling-right experience and strength-ened engagement contribute to regulatory fit effects, the feeling-right experience received more attention from the commentaries in this issue on our article (Avnet and Hig-gins 2006) than did strengthened engagement. We begin our response to the commentaries by addressing the different issues raised regarding the feeling-right experience, noting that strengthened engagement also contributes to regulatory fit effects. We then address other notable propositions and remarks offered in the commentaries.",regulatory-fit,1,include,JMR 2006 response on regulatory fit × consumer choice value; eligible (commentary in JMR responding to empirical findings).,llm-claude-opus-4-7
openalex:W2069130763,10.1509/jmkr.43.1.15,2006,Understanding Regulatory Fit,"Jennifer Aaker, Angela Y. Lee",Journal of Marketing Research,"The authors focus on three critical areas of future research on regulatory fit. First, they focus on how regulatory orientation is sustained. The authors argue that there are two distinct approaches that bring about the “just-right feeling”: (1) a process-based approach that involves the interaction between regulatory orientation and decision-making processes and (2) an outcome-based approach that involves the interaction between regulatory orientation and the framed outcomes offered. Second, the authors discuss possible boundary conditions of regulatory fit effects, highlighting the apparent paradoxical role of involvement. They suggest that the antecedents that give rise to regulatory fit (e.g., lowered motivation) can differ from its consequences (e.g., increased motivation). Third, the authors discuss broader implications of regulatory fit, proposing three possible mechanisms by which regulatory fit can lead to improved physical health and discussing the degree to which the just-right feeling plays a role in goal-sustaining experiences related to subjective well-being (e.g., flow).",regulatory-fit,1,include,JMR 2006 review on regulatory fit; eligible (review of empirical regulatory-fit literature).,llm-claude-opus-4-7
openalex:W2093392376,10.1509/jmkr.43.1.28,2006,The Role of Regulatory Focus in Preference Construction,"Jing Wang, Angela Y. Lee",Journal of Marketing Research,"The authors examine how consumers' regulatory focus affects their information search behavior and decision-making process. The results show that uninvolved research participants rely on their regulatory focus as a filter to process information selectively. Participants paid more attention to and based their product evaluation on product information that is relevant to their regulatory concerns, but only when they were not motivated to process information. This regulatory fit effect on evaluation seems to be driven by the perceptual salience of fit versus nonfit information and is more consistent with heuristic than with systematic processing of information.",regulatory-fit,1,include,"JMR 2006 on regulatory focus × consumer preference construction × information search; eligible (experimental, regulatory focus, consumer-decision outcome).",llm-claude-opus-4-7
