id,doi,year,title,authors,journal,abstract,provenance_techniques,provenance_count,decision,decision_reason,screener
doi:10.1177/0146167299258006,10.1177/0146167299258006,1999,Compliance with a Request in Two Cultures: The Differential Influence of Social Proof and Commitment/Consistency on Collectivists and Individualists,"Robert B. Cialdini, Wilhelmina Wosinska, Daniel W. Barrett, Jonathan Butner, Malgorzata Gornik-Durose",Personality and Social Psychology Bulletin,"University students in Poland and the United States, two countries that differ in individualistic-collectivistic orientation, indicated their willingness to comply with a request to participate without pay in a marketing survey. Half were asked to do so after considering information regarding their own history of compliance with such requests, whereas the other half were asked to do so after considering information regarding their peers’ history of such compliance. This was designed to assess the impact of two social influence principles (commitment/consistency and social proof, respectively) on participants’ decisions. As expected, although both principles were influential across cultures, the commitment/consistency principle had greater impact on Americans, whereas the social proof principle had greater impact on Poles. Additional analyses indicated that this effect was due principally, but not entirely, to participants’ personal individualistic-collectivistic orientations rather than to the dominant individualistic-collectivistic orientation of their cultures.",commitment-consistency;social-proof,3,include,"PSPB 1999 cross-cultural compliance experiment (Poland/US) on social-proof vs commitment-consistency, with marketing survey as target request; eligible (experimental, commercial-request context, two compliance techniques).",llm-claude-opus-4-7
openalex:W1999885314,10.1080/08824090701624148,2007,“Even a Penny Will Help!”: Legitimization of Paltry Donation and Social Proof in Soliciting Donation to a Charitable Organization,"Sachiyo M. Shearman, Jina H. Yoo",Communication Research Reports,"“Even a penny will help!” is a donation solicitor's effort in legitimating paltry donations in hopes of gaining higher compliance. This study reexamined the effect of Legitimization of Paltry Donation (LPD) in combination with Social Proof (SP) strategy. Participants were given one of four donation soliciting messages: simple request (control), LPD, SP, and LPD/SP. Compliance rate and size were examined through both the survey experiment and the field experiment. The LPD/SP condition yielded the highest rate of compliance both in the survey and field studies, followed by the LPD condition, the SP condition, and the control condition. As for the donation amount, results were not consistent across the two studies. Implications and limitations of the study were discussed.",social-proof,1,include,"Communication Research Reports 2007 survey + field experiment on Legitimization of Paltry Donation × Social Proof; donation-solicitation context; eligible (experimental, social-proof, donation compliance outcome).",llm-claude-opus-4-7
openalex:W2078007546,10.1509/jmkr.46.3.384,2009,"Fear and Loving in Las Vegas: Evolution, Emotion, and Persuasion","Vladas Griskevicius, Noah J. Goldstein, Chad R. Mortensen, Jill M. Sundie, Robert B. Cialdini, Douglas T. Kenrick",Journal of Marketing Research,"How do arousal-inducing contexts, such as frightening or romantic television programs, influence the effectiveness of basic persuasion heuristics? Different predictions are made by three theoretical models: A general arousal model predicts that arousal should increase effectiveness of heuristics; an affective valence model predicts that effectiveness should depend on whether the context elicits positive or negative affect; an evolutionary model predicts that persuasiveness should depend on both the specific emotion that is elicited and the content of the particular heuristic. Three experiments examined how fear-inducing versus romantic contexts influenced the effectiveness of two widely used heuristics-social proof (e.g., ""most popular"") and scarcity (e.g., ""limited edition""). Results supported predictions from an evolutionary model, showing that fear can lead scarcity appeals to be counter-persuasive, and that romantic desire can lead social proof appeals to be counter-persuasive. The findings highlight how an evolutionary theoretical approach can lead to novel theoretical and practical marketing insights.",social-proof,2,include,"JMR 2009 three experiments on emotion × persuasion heuristics including social proof; eligible (experimental, social-proof manipulation, persuasion outcome).",llm-claude-opus-4-7
openalex:W1991923314,10.5805/ksci.2010.12.6.755,2010,A Study on Persuasion Effects of Online Cosmetic Advertising -Focused on Types of Social Proof Message and Product-,"Hyun‐Hee Park, Qin Li, Jung Ok Jeon",Fashion & Textile Research Journal,"This study was intended to identify the persuasion effects according to social proof message type and product type in the context of online cosmetic advertising. For the experiment, 4 stimuli were developed as experimental stimuli for the 2(social proof message type: attitudinal social proof message, behavioral social proof message)<TEX>${\times}$</TEX>2(product type: hedonic product, utilitarian product) factorial design. A total of 160 questionnaires allocating forty students to each group were distributed. The results were as follows. First, behavioral social proof message showed more effective than attitudinal social proof message in advertisement attention, click-through intention and purchase intention. Second, utilitarian product showed more effective than hedonic product in advertisement attention, click-through intention and purchase intention. Third, there was interaction effect according to social proof message type and product type on the aspect of click-through intention.",social-proof,1,include,"Fashion & Textile Research Journal 2010 2×2 factorial N=160 experiment on social-proof message type × product type in online cosmetic ads; eligible (experimental, social-proof, advertising-persuasion outcome).",llm-claude-opus-4-7
openalex:W2144666004,10.1509/jm.12.0021,2013,How Images of Other Consumers Influence Subsequent Taste Perceptions,"Morgan Poor, Adam Duhachek, Harinarayan Krishnan",Journal of Marketing,"Images of food are seemingly everywhere, and yet the influence that such images have on important consumer outcomes is not well understood. The authors propose that the effect that image exposure has on taste perceptions largely depends on the interaction between the type of food (healthy vs. unhealthy) and whether the image shows the food alone (food image) or the food being consumed by a person (consummatory image). Specifically, the authors show that exposure to consummatory images of unhealthy (vs. healthy) foods increases taste perceptions relative to food images. To explain this effect, the authors argue that seeing an image of someone else indulging in an unhealthy food serves as social proof of the appropriateness and acceptability of indulgent consumption. As such, images of consumers eating act as a justification agent for real consumers, thereby reducing the conflict associated with the subsequent indulgent consumption experience and, in effect, increasing taste perceptions. The authors test this effect across five studies and eliminate rival explanations pertaining to emotional contagion, goal contagion, and source attractiveness.",social-proof,1,include,"Journal of Marketing 2013 experiments on food images (alone vs consummatory) × taste perceptions; eligible (experimental, social-proof imagery, consumer outcome).",llm-claude-opus-4-7
openalex:W2496520395,10.1037/a0031785,2013,Health on impulse: When low self-control promotes healthy food choices.,"Stefanie Salmon, Bob M. Fennis, Denise T. D. de Ridder, Marieke A. Adriaanse, Emely de Vet",Health Psychology,"OBJECTIVE: Food choices are often made mindlessly, when individuals are not able or willing to exert self-control. Under low self-control, individuals have difficulties to resist palatable but unhealthy food products. In contrast to previous research aiming to foster healthy choices by promoting high self-control, this study exploits situations of low self-control, by strategically using the tendency under these conditions to rely on heuristics (simple decision rules) as quick guides to action. More specifically, the authors associated healthy food products with the social proof heuristic (i.e., normative cues that convey majority endorsement for those products). METHOD: One hundred seventy-seven students (119 men), with an average age of 20.47 years (SD = 2.25) participated in the experiment. This study used a 2 (low vs. high self-control) × 2 (social proof vs. no heuristic) × 2 (trade-off vs. control choice) design, with the latter as within-subjects factor. The dependent variable was the number of healthy food choices in a food-choice task. RESULTS: In line with previous studies, people made fewer healthy food choices under low self-control. However, this negative effect of low self-control on food choice was reversed when the healthy option was associated with the social proof heuristic. In that case, people made more healthy choices under conditions of low self-control. CONCLUSION: Low self-control may be even more beneficial for healthy food choices than high self-control in the presence of a heuristic. Exploiting situations of low self-control is a new and promising method to promote health on impulse.",social-proof,1,include,"Health Psych 2013 study on low-self-control × heuristic-reliance (incl social-proof) for healthy food choices; eligible (experimental, social-proof, food-choice outcome).",llm-claude-opus-4-7
openalex:W2157595586,10.1509/jmr.13.0432,2014,Contingent Match Incentives Increase Donations,"Lalin Anik, Michael I. Norton, Dan Ariely",Journal of Marketing Research,"The authors propose a new means by which nonprofits can induce donors to give today and commit to giving in the future: contingent match incentives, in which matching is made contingent on the percentage of others who give (e.g., “if X% of others give, we will match all donations”). A field experiment shows that a 75% contingent match (such that matches “kick in” only if 75% of others donate) is most effective in increasing commitment to recurring donations. An online experiment reveals that the 75% contingent match drives commitment to recurring donations because it simultaneously provides social proof while offering a low enough target to remain plausible that the match will occur. A final online experiment demonstrates that the effectiveness of the 75% contingent match extends to one-time donations. The authors discuss the practical and theoretical implications of contingent matches for managers and academics.",social-proof,1,include,"JMR 2014 field experiment + online experiment on contingent match incentives × social-proof for charitable donations; eligible (field experiment, social-proof variant, donation outcome).",llm-claude-opus-4-7
openalex:W2997998514,,2014,The Persuasive Role of Explanations in Recommender Systems.,"Sofia Gkika, George Lekakos",,"Abstract. Explanations in Recommender Systems can operate like motivators influencing consumers to purchase the recommended items. In this study, we rely upon the well established and verified framework of Cialdini’s Influence Principles in order to enrich recommendations with explanations and examine their effect on the persuasive power of recommendations. The results of the experiment revealed that all six Influence Principles positively affect users’ perception about the recommended movie while Authority and Social Proof seem to be the more effective ones. These findings indicate that a user’s intention to consume a recommended good is increased if the item is accompanied with a persuasive explanation.",social-proof,1,include,"2014 experiment on Cialdini's six influence principles in recommender-system explanations; eligible (experimental, multiple persuasion principles, recommendation-acceptance outcome).",llm-claude-opus-4-7
openalex:W1566060176,10.1109/apmediacast.2015.7210269,2015,Persuasive impact of online media: investigating the influence of visual persuasion,"Nurulhuda Ibrahim, Kok Wai Wong, Mohd Fairuz Shiratuddin",,"In spite of the rising attention given to persuasive design, little is known about the effect of visual persuasion in the online context, specifically in the context of human-computer communication. This research describes an experiment designed to compare the effectiveness of persuasive visual design against a plain website designed with similar web design characteristics in terms of informativeness, usability and visual aesthetic. The design of the persuasive website is extended with specific visual persuasion to encourage engagement, credibility, reciprocity, commitment, liking, social proof, authority, and scarcity. Empirical evidence shows that there are significant differences in perceived satisfaction, credibility and behavioural intention between the users who surf the non-persuasive website and the users who surf the persuasive website. The result suggested that persuasive visual design could have a positive impact on users' motivation and behavioural intention. Thus, it is proposed that further investigation should be done to understand the moderation and mediation that could take effect on persuasion processes and outcomes.",social-proof,1,include,2015 experiment on persuasive visual design × website (incl social-proof) on consumer impact; eligible.,llm-claude-opus-4-7
openalex:W2119481060,,2015,Designing Viral Promotional Campaigns: How Scarcity and Social Proof Affect Online Referrals,"Oliver Francis Koch, Alexander Benlian",RePEc: Research Papers in Economics,"Online referrals have become an important mechanism in leveraging consumers’ social networks to spread firms’ promotional campaigns and thus attract new customers. However, despite a robust understanding of the benefits and drivers of consumer referrals, only minimal attention has been paid towards the potential of classical promotional tactics in influencing referral behavior. Therefore, this study examines scarcity and social proof, two promotional cues which are linked to extant referral literature and are of great practical relevance, in the context of a randomized online experiment with the German startup Blinkist. Our analysis reveals that scarcity cues affect consumers' referral propensity regardless of the presence of social proof cues, but that social proof cues amplify scarcity’s effect on consumer referral propensity. We demonstrate that consumers’ perceptions of offer value drive the impact of scarcity on referral likelihood and illuminate how social proof moderates this mediating effect.",social-proof,1,include,"RePEc 2015 on scarcity + social-proof × online referral promotion campaign; eligible (experimental, two mechanisms, commercial referral outcome).",llm-claude-opus-4-7
