doi,title,is_oa,oa_url,stage1_included,techniques,already_extracted,extractability_tier,rationale
10.2466/pr0.96.1.122-128,Foot-in-the-Door and Door-in-the-Face: A Comparative Meta-Analytic Study,False,,True,ditf;fitd,False,UNKNOWN,DOI prefix 10.2466 not in observed-publisher table
10.3200/socp.145.2.237-240,The Effectiveness of Compliance Techniques: Foot in the Door Versus Door in the Face,False,,True,ditf;fitd,False,UNKNOWN,DOI prefix 10.3200 not in observed-publisher table
10.1007/s12144-010-9082-x,Mindlessness Revisited: Sequential Request Techniques Foster Compliance by Draining Self-control Resources,True,https://link.springer.com/content/pdf/10.1007/s12144-010-9082-x.pdf,True,commitment-consistency;ditf;fitd,True,MEDIUM,"Springer — mixed; atlas-040 extracted cleanly from open chapter, atlas-042 extracted cleanly; but some chapters paywalled despite is_oa=true"
10.1037/0022-3514.76.2.192,A disrupt-then-reframe technique of social influence.,False,,True,disrupt-then-reframe;ditf;lowball,False,MEDIUM,"APA — institutional repos + PMC mirrors; 2/3 PMC extractions clean, 1 eScholarship maintenance hit; abstract-only common on institutional repos"
10.1080/00224545.1986.9713577,Compliance Employing a Combined Foot-in-the-Door and Door-in-the-Face Procedure,False,,True,ditf;fitd,False,LOW,Taylor & Francis — frequently paywalled despite is_oa=true; atlas-022 + atlas-038 returned abstract-only
10.1111/j.1468-2958.1984.tb00028.x,SEQUENTIAL-REQUEST PERSUASIVE STRATEGIES.,False,,True,ditf;fitd,False,UNKNOWN,DOI prefix 10.1111 not in observed-publisher table
10.1037/hea0000854,The effect of persuasive messages on hospital visitors’ hand hygiene behavior.,False,,True,social-proof;reciprocity,False,MEDIUM,"APA — institutional repos + PMC mirrors; 2/3 PMC extractions clean, 1 eScholarship maintenance hit; abstract-only common on institutional repos"
10.1080/09669582.2018.1526294,Loss or gain? The role of message framing in hotel guests’ recycling behaviour,True,https://researchportal.port.ac.uk/portal/en/publications/loss-or-gain-the-role-of-message-framing-in-hotel-guests-recycling-behaviour(e6afe5d7-5963-446b-84e8-00681cf32af2).html,True,gain-framing;loss-framing,False,LOW,Taylor & Francis — frequently paywalled despite is_oa=true; atlas-022 + atlas-038 returned abstract-only
10.5334/irsp.15,"When, How and Why is Loss-Framing More Effective than Gain- and Non-Gain-Framing in the Promotion of Detection Behaviors",True,http://www.rips-irsp.com/articles/10.5334/irsp.15/galley/67/download/,True,gain-framing;loss-framing,True,HIGH,"Ubiquity Press / IRSP — clean HTML, atlas-006 extracted cleanly"
10.1016/j.giq.2017.11.006,Embedding persuasive features into policy issues: Implications to designing public participation processes,True,https://doi.org/10.1016/j.giq.2017.11.006,True,authority;commitment-consistency;social-proof,True,LOW,Elsevier / ScienceDirect — is_oa=true frequently masks paywall; atlas-021 + atlas-039 + atlas-043 + atlas-041 all returned abstract-only or paywalled
